Source,Package name,Package ID,ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Editor(s)/Author(s),Available Online,Shortcut URL
S&T,eBook - Immunology and Microbiology 2012,EBCIM12,9780123910592,Sexually Transmitted Diseases (Second Edition),2013,,,,Academic Press,Lawrence R. Stanberry and Susan L Rosenthal,05-Nov-2012,http://www.sciencedirect.com/science/book/9780123910592
S&T,eBook - Materials Science 2012,EBCMS12,9780123878397,Molecular Beam Epitaxy,2012,,,,Elsevier,,05-Nov-2012,http://www.sciencedirect.com/science/book/9780123878397
S&T,eBook - Computer Science 2012,EBCCS12,9780123985002,Security Consulting (Fourth Edition),2013,,,,Butterworth-Heinemann,Charles A. Sennewald,05-Nov-2012,http://www.sciencedirect.com/science/book/9780123985002
S&T,eBook - Forensics 2012,EBCFOR12,9781455731473,Developments in Handwriting and Signature Identification in the Digital Age,2012,,,,"Anderson Publishing, Ltd.",Heidi Harralson and Larry S. Miller,05-Nov-2012,http://www.sciencedirect.com/science/book/9781455731473
S&T,eBook - Engineering 2012,EBCE12,9780123945839,The RF in RFID (Second Edition),2013,,,,Newnes,Daniel M. Dobkin,05-Nov-2012,http://www.sciencedirect.com/science/book/9780123945839
S&T,eBook - Earth and Planetary Sciences 2012,EBCEPS12,9780444536389,Biostratigraphic and Geological Significance of Planktonic Foraminifera,2012,0920-5446,Developments in Palaeontology and Stratigraphy,22C,Elsevier,M.K. BouDagher-Fadel,04-Sep-2012,http://www.sciencedirect.com/science/book/9780444536389
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2012",EBCBGMB12,9780123821676,Principles and Practice of Clinical Research (Third Edition),2012,,,,Academic Press,,04-May-2012,http://www.sciencedirect.com/science/book/9780123821676
S&T,eBook - Computer Science 2012,EBCCS12,9780123865311,Design for Emotion,2012,,,,Morgan Kaufmann,,04-May-2012,http://www.sciencedirect.com/science/book/9780123865311
S&T,eBook - Engineering 2012,EBCE12,9780123884442,Handbook of Environmental Engineering Assessment,2012,,,,Butterworth-Heinemann,,04-May-2012,http://www.sciencedirect.com/science/book/9780123884442
S&T,eBook - Engineering 2012,EBCE12,9780124158382,Construction Hazardous Material Compliance Guide,2012,,,,Butterworth-Heinemann,"Woodson, R. Dodge",04-May-2012,http://www.sciencedirect.com/science/book/9780124158382
S&T,eBook - Environmental Science 2012,EBCES12,9780444594211,Environmentally Benign Approaches for Pulp Bleaching (Second Edition),2012,,,,Elsevier,,04-May-2012,http://www.sciencedirect.com/science/book/9780444594211
S&T,eBook - Earth and Planetary Sciences 2012,EBCEPS12,9780444536365,Ostracoda as Proxies for Quaternary Climate Change,2012,1571-0866,Developments in Quaternary Sciences,17C,Elsevier,"David J. Horne, Jonathan A. Holmes, Julio Rodriguez-Lazaro, Finn A. Viehberg",04-Dec-2012,http://www.sciencedirect.com/science/book/9780444536365
S&T,eBook - Engineering 2012,EBCE12,9780123948045,Welding Deformation and Residual Stress Prevention,2013,,,,Butterworth-Heinemann,,03-Jul-2012,http://www.sciencedirect.com/science/book/9780123948045
S&T,eBook - Psychology 2012,EBCP12,9780123884091,Learning About Learning Disabilities (Fourth Edition),2013,,,,Academic Press,,03-Aug-2012,http://www.sciencedirect.com/science/book/9780123884091
S&T,eBook - Chemistry 2012,EBCC12,9780123848734,Handbook of Radioactivity Analysis (Third Edition),2012,,,,Academic Press,"L'Annunziata, Michael",03-Aug-2012,http://www.sciencedirect.com/science/book/9780123848734
